CoralNetID,CoralNetName,Default short code,Functional group,Public sources using,Public annotation count,MERMAID_BA,MERMAID_GF,MermaidBaID,MermaidGfID,CoralFocus3Label
323,Macroalgae: Encrusting: green,MAENG,Algae,36,10417,Macroalgae,Encrusting,09226989-50e7-4c40-bd36-5bcef32ee7a1,b406252b-c160-4fd6-b7f9-f61d5e2779a5,Macroalgae
322,Macroalgae: Encrusting: red,MAENR,Algae,17,3858,Macroalgae,Encrusting,09226989-50e7-4c40-bd36-5bcef32ee7a1,b406252b-c160-4fd6-b7f9-f61d5e2779a5,Macroalgae
183,Sponge (massive),SP_mass,Other Invertebrates,19,243,Sponge,Massive,6b9fdd82-685f-4f21-8fa3-883e06be2c30,888609b5-b58a-4d57-addc-a6935bba284b,Other invertebrates
608,Ctenactis,Ctena,Hard coral,52,67,Ctenactis,NA,6c10a5ed-1e35-4e73-9dff-b6c42fb7bdad,NA,Fungiidae
3286,Spyridia filamentosa,SPYR,Algae,9,957,Spyridia filamentosa,NA,42bada38-002f-4636-864f-920bab234329,NA,Macroalgae
634,Tubipora musica,TubiMus,Other Invertebrates,7,35,Tubipora musica,NA,8a35dc37-8c8b-4f2f-a1e3-725baba09427,NA,Hard coral
317,Macroalgae: Erect coarse branching,MAEC,Algae,11,29202,Macroalgae,Branching,09226989-50e7-4c40-bd36-5bcef32ee7a1,cf2deca6-53b8-4096-916f-32c2c71d14bf,Macroalgae
418,Neomeris,Neomeris,Algae,56,201,Neomeris,NA,436b15f7-c235-4124-8eef-4aa2e25f2c4d,NA,Macroalgae
1933,Neomeris spp.,Neo_spp,Algae,31,4,Neomeris,NA,436b15f7-c235-4124-8eef-4aa2e25f2c4d,NA,Macroalgae
147,Encrusting sponge,ENSP,Other Invertebrates,61,31409,Sponge,Encrusting,6b9fdd82-685f-4f21-8fa3-883e06be2c30,b406252b-c160-4fd6-b7f9-f61d5e2779a5,Other invertebrates
387,Madracis,Madracis,Hard coral,25,92,Madracis,NA,223860e9-b7b5-412c-bcab-0f16d43928fb,NA,Madracis
1887,ARMS-CREP-Unavailable,_UNAV,Other,17,22220,Unknown,NA,b72e02c1-eab3-4781-9eb4-d191bb84e5c7,NA,Remove
1354,CRED-Unclassified/Unknown,*UNK,Other,21,71647,Unknown,NA,b72e02c1-eab3-4781-9eb4-d191bb84e5c7,NA,Remove
